wave,phase_start,phase_end,samples,bullish_count,bullish_rate
wave1,0,45,7,2,28.57142857142857
wave1,45,90,7,4,57.14285714285714
wave1,90,135,7,4,57.14285714285714
wave1,135,180,7,5,71.42857142857143
wave1,180,225,7,4,57.14285714285714
wave1,225,270,7,5,71.42857142857143
wave1,270,315,7,2,28.57142857142857
wave1,315,360,7,2,28.57142857142857
wave2,0,45,0,0,
wave2,45,90,14,3,21.428571428571427
wave2,90,135,0,0,
wave2,135,180,14,10,71.42857142857143
wave2,180,225,0,0,
wave2,225,270,14,8,57.14285714285714
wave2,270,315,0,0,
wave2,315,360,14,7,50.0
wave3,0,45,7,3,42.857142857142854
wave3,45,90,6,3,50.0
wave3,90,135,7,3,42.857142857142854
wave3,135,180,7,4,57.14285714285714
wave3,180,225,7,5,71.42857142857143
wave3,225,270,8,6,75.0
wave3,270,315,7,2,28.57142857142857
wave3,315,360,7,2,28.57142857142857
