category,value,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
LONG_REGION,TOP,11,7,63.63636363636363,11,6,54.54545454545454
LONG_REGION,RIGHT,9,2,22.22222222222222,9,5,55.55555555555556
LONG_REGION,BOTTOM,11,4,36.36363636363637,11,4,36.36363636363637
LONG_REGION,LEFT,9,7,77.77777777777779,8,5,62.5
LONG_SIDE,TOP,20,13,65.0,20,13,65.0
LONG_SIDE,BOTTOM,20,7,35.0,19,7,36.84210526315789
MID_REGION,TOP,10,7,70.0,9,5,55.55555555555556
MID_REGION,RIGHT,11,4,36.36363636363637,11,7,63.63636363636363
MID_REGION,BOTTOM,8,2,25.0,8,4,50.0
MID_REGION,LEFT,11,7,63.63636363636363,11,4,36.36363636363637
MID_SIDE,TOP,20,13,65.0,19,9,47.368421052631575
MID_SIDE,BOTTOM,20,7,35.0,20,11,55.00000000000001
SHORT_REGION,TOP,12,6,50.0,12,5,41.66666666666667
SHORT_REGION,RIGHT,6,3,50.0,6,2,33.33333333333333
SHORT_REGION,BOTTOM,14,7,50.0,14,7,50.0
SHORT_REGION,LEFT,8,4,50.0,7,6,85.71428571428571
SHORT_SIDE,TOP,20,10,50.0,19,9,47.368421052631575
SHORT_SIDE,BOTTOM,20,10,50.0,20,11,55.00000000000001
CENTROID_REGION,TOP,18,13,72.22222222222221,17,9,52.94117647058824
CENTROID_REGION,RIGHT,10,2,20.0,10,6,60.0
CENTROID_REGION,BOTTOM,3,0,0.0,3,1,33.33333333333333
CENTROID_REGION,LEFT,9,5,55.55555555555556,9,4,44.44444444444444
TOP_WAVE_COUNT,0,3,0,0.0,3,1,33.33333333333333
TOP_WAVE_COUNT,1,18,8,44.44444444444444,18,8,44.44444444444444
TOP_WAVE_COUNT,2,15,8,53.333333333333336,14,10,71.42857142857143
TOP_WAVE_COUNT,3,4,4,100.0,4,1,25.0
TOP_WAVE_COUNT,2+,19,12,63.1578947368421,18,11,61.111111111111114
