wave,role,phase_bin,samples,next_day_bullish_count,next_day_bullish_rate
wave2,LONG,0-45,6,3,50.0
wave2,LONG,45-90,5,1,20.0
wave2,LONG,90-135,8,7,87.5
wave2,LONG,135-180,8,6,75.0
wave2,LONG,180-225,8,5,62.5
wave2,LONG,225-270,8,4,50.0
wave2,LONG,270-315,7,3,42.857142857142854
wave2,LONG,315-360,5,3,60.0
wave3,MID,0-45,8,5,62.5
wave3,MID,45-90,6,5,83.33333333333334
wave3,MID,90-135,7,4,57.14285714285714
wave3,MID,135-180,7,4,57.14285714285714
wave3,MID,180-225,7,4,57.14285714285714
wave3,MID,225-270,7,4,57.14285714285714
wave3,MID,270-315,7,2,28.57142857142857
wave3,MID,315-360,6,4,66.66666666666666
wave1,SHORT,0-45,7,6,85.71428571428571
wave1,SHORT,45-90,7,6,85.71428571428571
wave1,SHORT,90-135,7,3,42.857142857142854
wave1,SHORT,135-180,7,3,42.857142857142854
wave1,SHORT,180-225,7,3,42.857142857142854
wave1,SHORT,225-270,7,4,57.14285714285714
wave1,SHORT,270-315,7,3,42.857142857142854
wave1,SHORT,315-360,6,4,66.66666666666666
