wave,phase_start,phase_end,samples,bullish_count,bullish_rate
wave1,0,45,5,1,20.0
wave1,45,90,6,4,66.66666666666666
wave1,90,135,5,3,60.0
wave1,135,180,7,5,71.42857142857143
wave1,180,225,7,4,57.14285714285714
wave1,225,270,6,5,83.33333333333334
wave1,270,315,7,2,28.57142857142857
wave1,315,360,7,2,28.57142857142857
wave2,0,45,5,1,20.0
wave2,45,90,6,2,33.33333333333333
wave2,90,135,6,3,50.0
wave2,135,180,7,5,71.42857142857143
wave2,180,225,6,5,83.33333333333334
wave2,225,270,6,2,33.33333333333333
wave2,270,315,8,5,62.5
wave2,315,360,6,3,50.0
wave3,0,45,7,5,71.42857142857143
wave3,45,90,6,4,66.66666666666666
wave3,90,135,6,2,33.33333333333333
wave3,135,180,7,5,71.42857142857143
wave3,180,225,5,3,60.0
wave3,225,270,7,3,42.857142857142854
wave3,270,315,7,3,42.857142857142854
wave3,315,360,5,1,20.0
